Country,Age,Salary,Purchased
France,44,72000,No
Spain,27,48000,Yes
Germany,30,54000,No
Spain,38,61000,No
Germany,40,,Yes
France,35,58000,Yes
Spain,,52000,No
France,48,79000,Yes
Germany,50,83000,No
France,37,67000,Yes
Spain,,52000,No
France,48,79000,Yes
,50,83000,No
Germany,30,54000,No
Spain,38,61000,No
Germany,40,,Yes
France,35,58000,Yes
Spain,,52000,No
France,48,79000,Yes
Germany,50,83000,No
Germany,40,79000,Yes
,35,83000,Yes
Spain,,54000,No
France,48,61000,Yes
Germany,50,,No
France,37,58000,Yes
Spain,,52000,No
France,48,79000,Yes
Germany,50,83000,No
,30,54000,No
Spain,38,61000,No
France,35,58000,Yes
Spain,,52000,No
France,48,79000,Yes
Germany,50,83000,No
France,37,67000,Yes
Spain,,52000,No
France,48,79000,Yes
,50,83000,No
Germany,30,54000,No
Spain,38,61000,No
Germany,40,,Yes
France,35,58000,Yes
Spain,,52000,No
France,48,79000,Yes
Germany,50,83000,No
Germany,40,79000,Yes
,35,83000,Yes
Spain,,54000,No
